sale_id,player,year,card_name,sport,grade,rarity,autograph,rookie_card,condition,sale_price,site,sale_date,baseline_psa9_value,value_note
RT-006502,Shohei Ohtani,2018,Topps Chrome Rookie,Baseball,6,Rare,No,Yes,Graded 6,61.08,130point,2026-02-02,220,Real card identity; approximate price-guide-style baseline with generated comparable-sales variation for prototype testing
RT-006546,Shohei Ohtani,2018,Topps Chrome Rookie,Baseball,6,Rare,No,Yes,Graded 6,62.53,eBay Sold,2026-02-07,220,Real card identity; approximate price-guide-style baseline with generated comparable-sales variation for prototype testing
RT-006499,Shohei Ohtani,2018,Topps Chrome Rookie,Baseball,6,Rare,No,Yes,Graded 6,63.87,PWCC,2026-02-12,220,Real card identity; approximate price-guide-style baseline with generated comparable-sales variation for prototype testing
RT-006522,Shohei Ohtani,2018,Topps Chrome Rookie,Baseball,6,Rare,No,Yes,Graded 6,60.32,Card Show,2026-02-14,220,Real card identity; approximate price-guide-style baseline with generated comparable-sales variation for prototype testing
RT-006493,Shohei Ohtani,2018,Topps Chrome Rookie,Baseball,6,Rare,No,Yes,Graded 6,59.61,Marketplace,2026-02-18,220,Real card identity; approximate price-guide-style baseline with generated comparable-sales variation for prototype testing
RT-006483,Shohei Ohtani,2018,Topps Chrome Rookie,Baseball,6,Rare,No,Yes,Graded 6,70.31,Card Show,2026-02-20,220,Real card identity; approximate price-guide-style baseline with generated comparable-sales variation for prototype testing
RT-006487,Shohei Ohtani,2018,Topps Chrome Rookie,Baseball,6,Rare,No,Yes,Graded 6,59.1,eBay Sold,2026-02-22,220,Real card identity; approximate price-guide-style baseline with generated comparable-sales variation for prototype testing
RT-006501,Shohei Ohtani,2018,Topps Chrome Rookie,Baseball,6,Rare,No,Yes,Graded 6,72.77,eBay Sold,2026-03-01,220,Real card identity; approximate price-guide-style baseline with generated comparable-sales variation for prototype testing
RT-006508,Shohei Ohtani,2018,Topps Chrome Rookie,Baseball,6,Rare,No,Yes,Graded 6,57.33,eBay Sold,2026-03-03,220,Real card identity; approximate price-guide-style baseline with generated comparable-sales variation for prototype testing
RT-006516,Shohei Ohtani,2018,Topps Chrome Rookie,Baseball,6,Rare,No,Yes,Graded 6,67.6,PWCC,2026-03-04,220,Real card identity; approximate price-guide-style baseline with generated comparable-sales variation for prototype testing
RT-006519,Shohei Ohtani,2018,Topps Chrome Rookie,Baseball,6,Rare,No,Yes,Graded 6,55.46,Marketplace,2026-03-10,220,Real card identity; approximate price-guide-style baseline with generated comparable-sales variation for prototype testing
RT-006533,Shohei Ohtani,2018,Topps Chrome Rookie,Baseball,6,Rare,No,Yes,Graded 6,66.67,eBay Sold,2026-03-14,220,Real card identity; approximate price-guide-style baseline with generated comparable-sales variation for prototype testing
RT-006500,Shohei Ohtani,2018,Topps Chrome Rookie,Baseball,6,Rare,No,Yes,Graded 6,56.57,Marketplace,2026-03-17,220,Real card identity; approximate price-guide-style baseline with generated comparable-sales variation for prototype testing
RT-006497,Shohei Ohtani,2018,Topps Chrome Rookie,Baseball,6,Rare,No,Yes,Graded 6,59.11,Card Ladder,2026-03-19,220,Real card identity; approximate price-guide-style baseline with generated comparable-sales variation for prototype testing
RT-006536,Shohei Ohtani,2018,Topps Chrome Rookie,Baseball,6,Rare,No,Yes,Graded 6,65.42,Marketplace,2026-03-27,220,Real card identity; approximate price-guide-style baseline with generated comparable-sales variation for prototype testing
RT-006494,Shohei Ohtani,2018,Topps Chrome Rookie,Baseball,6,Rare,No,Yes,Graded 6,53.88,eBay Sold,2026-03-31,220,Real card identity; approximate price-guide-style baseline with generated comparable-sales variation for prototype testing
RT-006514,Shohei Ohtani,2018,Topps Chrome Rookie,Baseball,6,Rare,No,Yes,Graded 6,62.87,eBay Sold,2026-04-01,220,Real card identity; approximate price-guide-style baseline with generated comparable-sales variation for prototype testing
RT-006535,Shohei Ohtani,2018,Topps Chrome Rookie,Baseball,6,Rare,No,Yes,Graded 6,69.35,eBay Sold,2026-04-07,220,Real card identity; approximate price-guide-style baseline with generated comparable-sales variation for prototype testing
RT-006485,Shohei Ohtani,2018,Topps Chrome Rookie,Baseball,6,Rare,No,Yes,Graded 6,56.1,Marketplace,2026-04-11,220,Real card identity; approximate price-guide-style baseline with generated comparable-sales variation for prototype testing
RT-006489,Shohei Ohtani,2018,Topps Chrome Rookie,Baseball,6,Rare,No,Yes,Graded 6,64.92,eBay Sold,2026-04-13,220,Real card identity; approximate price-guide-style baseline with generated comparable-sales variation for prototype testing
RT-006552,Shohei Ohtani,2018,Topps Chrome Rookie,Baseball,6,Rare,No,Yes,Graded 6,65.69,eBay Sold,2026-04-13,220,Real card identity; approximate price-guide-style baseline with generated comparable-sales variation for prototype testing
RT-006526,Shohei Ohtani,2018,Topps Chrome Rookie,Baseball,6,Rare,No,Yes,Graded 6,60.86,Marketplace,2026-04-20,220,Real card identity; approximate price-guide-style baseline with generated comparable-sales variation for prototype testing
RT-006544,Shohei Ohtani,2018,Topps Chrome Rookie,Baseball,6,Rare,No,Yes,Graded 6,57.26,PWCC,2026-04-20,220,Real card identity; approximate price-guide-style baseline with generated comparable-sales variation for prototype testing
RT-006549,Shohei Ohtani,2018,Topps Chrome Rookie,Baseball,6,Rare,No,Yes,Graded 6,62.27,Card Ladder,2026-04-20,220,Real card identity; approximate price-guide-style baseline with generated comparable-sales variation for prototype testing
RT-006539,Shohei Ohtani,2018,Topps Chrome Rookie,Baseball,6,Rare,No,Yes,Graded 6,57.4,Marketplace,2026-04-21,220,Real card identity; approximate price-guide-style baseline with generated comparable-sales variation for prototype testing
RT-006548,Shohei Ohtani,2018,Topps Chrome Rookie,Baseball,6,Rare,No,Yes,Graded 6,68.23,Card Ladder,2026-04-22,220,Real card identity; approximate price-guide-style baseline with generated comparable-sales variation for prototype testing
RT-006511,Shohei Ohtani,2018,Topps Chrome Rookie,Baseball,6,Rare,No,Yes,Graded 6,58.92,eBay Sold,2026-04-23,220,Real card identity; approximate price-guide-style baseline with generated comparable-sales variation for prototype testing
RT-006492,Shohei Ohtani,2018,Topps Chrome Rookie,Baseball,6,Rare,No,Yes,Graded 6,59.39,eBay Sold,2026-04-24,220,Real card identity; approximate price-guide-style baseline with generated comparable-sales variation for prototype testing
RT-006512,Shohei Ohtani,2018,Topps Chrome Rookie,Baseball,6,Rare,No,Yes,Graded 6,67.35,Card Show,2026-04-25,220,Real card identity; approximate price-guide-style baseline with generated comparable-sales variation for prototype testing
RT-006482,Shohei Ohtani,2018,Topps Chrome Rookie,Baseball,6,Rare,No,Yes,Graded 6,74.09,130point,2026-04-26,220,Real card identity; approximate price-guide-style baseline with generated comparable-sales variation for prototype testing
RT-006528,Shohei Ohtani,2018,Topps Chrome Rookie,Baseball,6,Rare,No,Yes,Graded 6,63.94,eBay Sold,2026-04-28,220,Real card identity; approximate price-guide-style baseline with generated comparable-sales variation for prototype testing
RT-006484,Shohei Ohtani,2018,Topps Chrome Rookie,Baseball,6,Rare,No,Yes,Graded 6,66.03,Goldin,2026-04-30,220,Real card identity; approximate price-guide-style baseline with generated comparable-sales variation for prototype testing
RT-006507,Shohei Ohtani,2018,Topps Chrome Rookie,Baseball,6,Rare,No,Yes,Graded 6,67.78,PWCC,2026-04-30,220,Real card identity; approximate price-guide-style baseline with generated comparable-sales variation for prototype testing
RT-006543,Shohei Ohtani,2018,Topps Chrome Rookie,Baseball,6,Rare,No,Yes,Graded 6,68.45,eBay Sold,2026-05-03,220,Real card identity; approximate price-guide-style baseline with generated comparable-sales variation for prototype testing
RT-006520,Shohei Ohtani,2018,Topps Chrome Rookie,Baseball,6,Rare,No,Yes,Graded 6,66.68,eBay Sold,2026-05-04,220,Real card identity; approximate price-guide-style baseline with generated comparable-sales variation for prototype testing
RT-006509,Shohei Ohtani,2018,Topps Chrome Rookie,Baseball,6,Rare,No,Yes,Graded 6,58.61,Card Show,2026-05-08,220,Real card identity; approximate price-guide-style baseline with generated comparable-sales variation for prototype testing
RT-006521,Shohei Ohtani,2018,Topps Chrome Rookie,Baseball,6,Rare,No,Yes,Graded 6,68.45,eBay Sold,2026-05-08,220,Real card identity; approximate price-guide-style baseline with generated comparable-sales variation for prototype testing
